latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum,link,full_reference,the_geom,created_at,updated_at,cartodb_id
50.854146,0.064313636,Glynde,Sussex,Mixed Cemetery,7,8,Mid-5th to Mid-6th c,Griffith 1883,Unknown Location,,,0101000020E61000009B8D4EC3DB76B03F2E01F8A7546D4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,105
51.263332,0.60580991,Hollingbourne,Kent,Mixed Cemetery,8,2,Late 5th to 6th c,Grove 1952,Unknown Location,,,0101000020E6100000D35DE176CB62E33FC1FEEBDCB4A14940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,123
52.297639,-0.98229175,Holdenby,Northamptonshire,Mixed Cemetery,3,25,5th to Early 7th c,Hartshorne 1868,Unknown Location,,,0101000020E6100000F12DAC1BEF6EEFBFCF81E50819264A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,122
51.091392,-1.1460684,Worthy Park,Hampshire,Mixed Cemetery,46,95,6th to Mid-7th c,Hawkes and Granger 2003,Unknown Location,,,0101000020E61000002DAA8FD14B56F2BFDA8EA9BBB28B4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,259
51.702428,-0.8828251,Bledlow Cop,Buckinghamshire,Majority Cremation Cemetery,5,2,5th to 6th c,"Head 1938;  Farley 1992",Buckinghamshire County Museum,,,0101000020E610000052D0926C1A40ECBFB8E52329E9D94940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,26
51.809913,-0.9352904,Winchendon Hill Farm,Buckinghamshire,Mixed Cemetery,1,1,Mid to Late 6th c,Head and Hume 1969,Unknown Location,,,0101000020E610000084680822E6EDEDBF79CDAB3AABE74940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,252
52.787766,-1.6203659,Stapenhill,Derbyshire,Majority Inhumation Cemetery,2,36,6th c,"Heron 1889; Brown 1915",Unknown Location,,,0101000020E610000092DB40CB04EDF9BF4B732B84D5644A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,217
52.426513,-0.82196244,Rothwell,Northamptonshire,Mixed Cemetery,1,2,5th to 6th c,Hief 1915-1916,Unknown Location,,,0101000020E61000003FE4CA2C844DEABFD0285DFA97364A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,186
52.887842,-0.7470729,Woolsthorpe-by-Belvoir,Lincolnshire,Mixed Cemetery,2,10,5th to 6th c,"Hill 1907; Phillips 1934",Unknown Location,,,0101000020E6100000C84A276D05E8E7BFF30181CEA4714A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,257
50.666016,-1.4382134,Chessell Down,Isle of Wight,Majority Inhumation Cemetery,3,130,5th to 6th c,Hillier 1855,Unknown Location,,,0101000020E610000016B4DA0DEC02F7BF6E4E250340554940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,62
50.682638,-1.3488412,Bowcombe Down,Isle of Wight,Majority Inhumation Cemetery,9,27,5th to 6th c,"Hillier 1855; Wilkins et al 1860; Arnold 1982",Unknown Location,,,0101000020E610000055F59782DA94F5BFE08096AE60574940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,33
52.227922,0.082047801,Girton,Cambridgeshire,Majority Cremation Cemetery,150,80,5th to 6th c,"Hollingworth and O'Reilly 1925; Lethbridge 1938",Unknown Location,,,0101000020E61000008AF300AE1501B53FFB04508C2C1D4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,104
54.575532,-0.99444296,Saltburn-on-Sea,Yorkshire,Mixed Cemetery,20,30,6th c,"Hornsby 1913; Brown 1915",Unknown Location,,,0101000020E61000007AFFDD0A7AD2EFBF97E65608AB494B40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,190
52.159887,-1.8566959,Bidford,Warwickshire,Majority Inhumation Cemetery,30,180,6th to 7th c,"Humphreys et al 1923; Booth and Hodgson 1990",Unknown Location,,,0101000020E610000068E091C206B5FDBF1C075E2D77144A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,24
52.89425,0.54054116,Sedgeford,Norfolk,Mixed Cemetery,2,7,5th c,"Ingleby 1917; Clarke 1939",Unknown Location,,,0101000020E6100000DFF08AF91C4CE13F5839B4C876724A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,193
50.736403,-1.778886,Christchurch,Hampshire,Majority Inhumation Cemetery,4,30,Late 6th to 7th c,"Jarvis 1983; Davies 1984",Unknown Location,,,0101000020E610000000FF942A5176FCBF91D61874425E4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,63
